100PercentFedUp.com,2
21stCenturyWire.com,2
70news.wordpress.com,1
Abcnews.com.co,1
ActivistPost.com,2
Addicting Info,3
AmericanNews.com,1
AnonNews.co,3
Associated Media Coverage,
BeforeItsNews.com,
Being Liberal,
BigAmericanNews.com,
BigPZone.com,
Bipartisan Report,
BizPac Review,
Blue Nation Review,2
Borowitz Report,4
Breitbart,3
Cap News,4
ChristWire.org,4
Chronicle.su,
CivicTribune.com,1
ClickHole.com,4
CoastToCoastAM.com,2
CollectiveEvolution,3
ConsciousLifeNews.com,2
ConservativeOutfitters.com,2
ConspiracyWire,2
CountdownToZeroTime.com,2
CounterPsyOps.com,
CreamBMP.com,1
DCClothesLine.com,
DCGazette.com,1
Daily Wire,
DailyBuzzLive.com,
DailyCurrant.com,
DerfMagazine.com,
Disclose.tv,
DrudgeReport.com.co,1
DuffleBlog.com,4
DuhProgressive.com,
Embols.com,
Empire Herald,
Empire News,1
EmpireNews.com,
Endingthefed.com,
EnduringVision.com,1
FPRNradio.com,
GeoEngineeringWatch.org,
GovtSlaves.info,
GulagBound.com,
HangTheBankers.com,
HumansAreFree.com,
Huzlers,4
IJR,
IfYouOnlyNews,
Indecision Forever,1
Independent Journal Review,
InfoWars,1
Infowars.com,
Inquisitor.com,
IntelliHub.com,
JonesReport.com,
LMR/LibertyMovementRadio.com,
LewRockwell.com,
Liberal America,
LibertyTalk.fm,
LibertyUnyielding,
LibertyVideos.org,
MSNBC.com.co,1
MSNBC.website,1
MediaMass.net,1
MegynKelly.us,1
NC Scooper,
NCT,
Naha Daily,4
National Report,
NationalReport.net,1
NaturalNews.com,
New Century Times,
News Examiner,
News-Hound.com,1
NewsBiscuit.com,1
NewsMutiny.com,1
NewsWire-24.com,
Newslo,1
Newswatch 28,
Newswatch 33,
NoDisInfo.com,
Now8News,
NowTheEndBegins.com,
Occupy Democrats,3
PakAlertPress.com,
PoliticalBlindSpot.com,
PoliticalEars.com,
Politicalo,1
PoliticusUSA,
PrisonPlanet.com,
PrisonPlanet.tv,
Private-eye.co.uk,4
ProjectVeritas,
React 365,
RealFarmacy.com,
RealNewsRightNow.com,1
Red State,3
RedFlagNews.com,
Reductress,4
RileNews.com,1
Satira Tribune,
Sprotspickle.com,4
theblaze.com,
TheFreeThoughtProject.com, 3
The Free Thought Project,3
theonion.com,4
The Other 98%,3
The Reporterz,
The Stately Harold,
TheDailySheeple.com,
TheNewsNerd.com,
TheRunDownLive.com,
TheUsPatriot.com,
TruthFrequencyRadio.com,
Twitchy.com,3
US Uncut,3
US.Blasting.News,
USA Supreme,
UnconfirmedSources.com,
VeteransToday.com,
WakingUpWisconsin.com,
WideAwakeAmerica.com,2
Winning Democrats,
WitScience.org,
World Net Daily,
World News Daily Report,4
WorldTruth.tv,
ZeroHedge,
